==========================================================================================
CONSECUTIVE-STOP CIRCUIT BREAKER GRID SEARCH
(with correct target/stop resolution)
==========================================================================================
Config: LB=100, Inner=0.75, Outer=1.75
Data: NQ-250tick-calibration.csv (127567 bars)
Cost: $4.0/trade, Qty=1, No martingale, No step-up
RTH: 09:30-15:45, Entry at bar close, ddof=0

Simulation logic:
  - Target/stop checked every bar while in position
  - Priority: target > stop > reversal
  - Same-bar target+stop: close determines winner
  - Same-bar re-entry after target/stop resolution
  - Reversal: exit at close, enter opposite at close
  - Circuit breaker: block side at N consecutive stops,
    reset BOTH counters when opposite side fires

   N  Trades      PnL($)   Up   Dn  WinD%     AvgUp     AvgDn      Worst      MaxDD   PnL/DD    WR%     EV/T  CBFire  Block  Force
----------------------------------------------------------------------------------------------------------------------------------
 OFF    4433    23082.62   33   28   54.1   2461.40  -2076.55   -7025.02   23020.50    1.003   43.9     5.21       0      0      0
   2    2963    33227.92   30   30   50.0   2701.12  -1593.51   -5227.58   17680.87    1.879   43.5    11.21     609  21087    572
   3    3637    29906.88   33   28   54.1   2649.20  -2054.16   -6407.32   22818.23    1.311   43.6     8.22     346  12473    322
   4    4003    16894.02   29   32   47.5   3035.96  -2223.39   -7401.83   33801.21    0.500   43.5     4.22     198   6684    188
   5    4212    14237.90   31   30   50.8   2602.67  -2214.82   -7587.44   35651.97    0.399   43.7     3.38     106   3366    100
   7    4371    22096.11   31   30   50.8   2663.37  -2015.61   -8931.40   27791.33    0.795   43.9     5.06      27    842     26
  10    4424    23508.09   32   29   52.5   2537.92  -1989.83   -7025.02   23020.50    1.021   43.9     5.31       4    166      4

==========================================================================================
ANALYSIS
==========================================================================================
Baseline (N=OFF): 4433 trades, PnL=$23082.62, MaxDD=$23020.50, PnL/DD=1.003

Best total PnL:   N=2 ($33227.92, delta vs baseline: $+10145.30)
Best PnL/DD:      N=2 (1.879, baseline: 1.003)
Best EV/trade:    N=2 ($11.21, baseline: $5.21)

Deltas vs baseline (N=OFF):
  N= 2: PnL  +10145.30, Trades -1470, MaxDD  -5339.63, CB fired 609x, blocked 21087, forced-opposite 572
  N= 3: PnL   +6824.26, Trades  -796, MaxDD   -202.27, CB fired 346x, blocked 12473, forced-opposite 322
  N= 4: PnL   -6188.60, Trades  -430, MaxDD +10780.71, CB fired 198x, blocked 6684, forced-opposite 188
  N= 5: PnL   -8844.72, Trades  -221, MaxDD +12631.47, CB fired 106x, blocked 3366, forced-opposite 100
  N= 7: PnL    -986.51, Trades   -62, MaxDD  +4770.83, CB fired  27x, blocked  842, forced-opposite  26
  N=10: PnL    +425.47, Trades    -9, MaxDD     +0.00, CB fired   4x, blocked  166, forced-opposite   4

==========================================================================================
SINGLE-DAY TRADE LOG: 10/10/2025 (N=3)
==========================================================================================
           Time    Dir       Entry      Exit    PnL($)   CL   CS  LBlk  SBlk
       11:40:00  short    24760.50    TARGET    939.99    0    0     0     0
       11:42:22   long    24711.75    TARGET    838.68    0    0     0     0
       11:43:04  short    24768.75      STOP   -501.82    0    1     0     0
       11:44:16  short    24785.00      STOP   -555.52    0    2     0     0
       11:54:11  short    24875.50  REVERSAL    691.00    0    0     0     0
       11:54:37   long    24840.75    TARGET    610.70    0    0     0     0
       11:55:02  short    24882.00    TARGET    609.50    0    0     0     0
       11:56:11   long    24831.25      STOP   -394.43    1    0     0     0
       12:03:00   long    24800.00      STOP   -668.31    2    0     0     0
       12:05:22   long    24768.25    TARGET    876.33    0    0     0     0
       12:06:04  short    24799.25  REVERSAL    206.00    0    0     0     0
       12:06:40   long    24788.75      STOP   -366.42    1    0     0     0
       12:07:35   long    24766.25    TARGET    528.37    0    0     0     0
       12:08:26   long    24795.75  REVERSAL    266.00    0    0     0     0
       12:10:15  short    24809.25    TARGET    552.48    0    0     0     0
       12:11:10   long    24775.75      STOP   -366.74    1    0     0     0
       12:11:29   long    24766.00    TARGET    497.68    0    0     0     0
       12:11:56  short    24799.00      STOP   -325.05    0    1     0     0
       12:12:42  short    24794.00      STOP   -329.65    0    2     0     0
       12:13:45  short    24802.75      STOP   -332.69    0    3     0     1
       12:18:04   long    24776.75      STOP   -364.53    1    0     0     0
       12:19:05   long    24768.25      STOP   -369.28    2    0     0     0
       12:21:02   long    24776.00      STOP   -391.78    3    0     1     0
       12:23:21  short    24809.25      STOP   -406.93    0    1     0     0
       12:25:00  short    24835.25    TARGET    727.08    0    0     0     0
       12:29:14  short    24815.75    TARGET    730.83    0    0     0     0
       12:32:09  short    24806.50      STOP   -475.54    0    1     0     0
       12:34:08  short    24830.00    TARGET    731.34    0    0     0     0
       12:35:12   long    24784.50      STOP   -463.97    1    0     0     0
       12:36:25   long    24766.50    TARGET    678.91    0    0     0     0
       12:38:06   long    24786.50      STOP   -408.56    1    0     0     0
       12:42:48   long    24776.50      STOP   -433.91    2    0     0     0
       12:48:05   long    24742.75      STOP   -530.40    3    0     1     0
       13:13:47  short    24662.75    TARGET    726.14    0    0     0     0
       13:15:34   long    24621.75    TARGET    582.02    0    0     0     0
       13:17:33  short    24651.75      STOP   -338.16    0    1     0     0
       13:20:42  short    24649.00    TARGET    518.56    0    0     0     0
       13:21:32   long    24623.75    TARGET    522.74    0    0     0     0
       13:22:17  short    24650.00      STOP   -354.07    0    1     0     0
       13:27:05  short    24668.50      STOP   -430.20    0    2     0     0
       13:30:34  short    24701.75      STOP   -546.50    0    3     0     1
       13:46:17   long    24707.25      STOP   -274.35    1    0     0     0
       13:52:22   long    24686.25      STOP   -424.87    2    0     0     0
       14:03:09   long    24667.75      STOP   -480.60    3    0     1     0
       14:11:13  short    24669.75  REVERSAL    196.00    0    0     0     0
       14:13:51   long    24659.75  REVERSAL    391.00    0    0     0     0
       14:14:36  short    24679.50      STOP   -239.58    0    1     0     0
       14:18:36  short    24682.25    TARGET    415.96    0    0     0     0
       14:19:58   long    24660.25    TARGET    416.30    0    0     0     0
       14:20:44  short    24690.75      STOP   -285.53    0    1     0     0
       14:22:25  short    24692.25      STOP   -336.17    0    2     0     0
       14:25:20  short    24697.75      STOP   -375.41    0    3     0     1
       14:34:35   long    24669.50      STOP   -392.34    1    0     0     0
       14:44:37   long    24651.75      STOP   -387.88    2    0     0     0
       14:48:05   long    24647.50      STOP   -481.15    3    0     1     0
       15:02:37  short    24632.00    TARGET    714.46    0    0     0     0
       15:09:18  short    24622.25    TARGET    531.30    0    0     0     0
       15:11:45   long    24593.25      STOP   -289.47    1    0     0     0
       15:22:04   long    24574.75      STOP   -361.98    2    0     0     0
       15:27:18   long    24557.50      STOP   -417.40    3    0     1     0
       15:44:47  short    24511.75      STOP   -537.53    0    1     0     0
       15:50:11  short    24538.50    TARGET    724.98    0    0     0     0

